Compound	Function ID	Precursor	Product	RT(min)	Ratio(%)
LPE 16:0	1	454.2928	313.2928	1.6	100
LPE 18:2	1	478.3085	337.3085	1.34	100
LPE 18:1	1	480.3085	339.3085	1.7	100
LPE 18:0	1	482.3241	341.3241	2.2	100
LPE 18:1 (d7)	1	487.3085	346.3085	1.68	100
LPE 20:4	1	502.2928	361.2928	1.29	100
LPE 22:6	1	526.2928	385.2928	1.23	100
LPC 14:0	1	468.3085	184.07	1.08	100
LPC(P-16:0/0:0)	1	480.3449	104.08	1.72	100
LPC(O-16:0/0:0)	1	482.3605	104.08	1.78	100
LPC 15:0	1	482.3605	184.07	1.29	100
LPC 16:1	1	494.3241	184.07	1.16	100
LPC 16:0	1	496.3398	184.07	1.53	100
LPC 17:1	1	508.3398	184.07	1.38	100
LPC 17:0	1	510.3554	184.07	1.82	100
LPC 18:2	1	520.3398	184.07	1.28	100
LPC 18:1	1	522.3554	184.07	1.62	100
LPC 18:1 (d7)	1	529.3054	184.07	1.61	100
LPC 20:5	1	542.3241	184.07	1.05	100
LPC 20:4	1	544.3398	184.07	1.24	100
LPC 20:3	1	546.3554	184.07	1.43	100
LPC 20:2	1	548.3711	184.07	1.75	100
LPC 22:6	1	568.3398	184.07	1.18	100
LPC 22:5	1	570.3398	184.07	1.45	100
LPC(P-18:0/0:0)	1	508.3398	104.08	2.37	100
LPC(O-18:0/0:0)	1	510.3554	104.08	2.43	100
LPC 18:0	1	524.3711	184.07	2.13	100
LPC 19:0	1	538.38	184.07	2.46	100
LPC 20:1	1	550.3867	184.07	2.2	100
LPC 20:0	1	552.4024	184.07	2.82	100
LPC 22:0	1	580.43	184.07	3.54	100
LPC 24:0	1	608.47	184.07	4.24	100
SM C12:0	1	647.52	184.07	3.75	100
SM C13:0	1	661.53	184.07	4.09	100
SM C14:1	1	673.54	184.07	3.87	100
SM C14:0	1	675.55	184.07	4.43	100
Dihydro SM C14:0	1	677.53	184.07	4.66	100
SM C16:1	1	701.59	184.07	4.53	100
CE 18:3	1	664.58	369.35	8.22	100
CE 18:2	1	666.59	369.35	8.41	100
CE 18:1 (d7)	1	675.61	369.35	8.62	100
CE 20:5	1	688.58	369.35	8.07	100
CE 20:4	1	690.59	369.35	8.29	100
CE 20:3	1	692.61	369.35	8.45	100
CE 22:6	1	714.59	369.35	8.17	100
PC 28:1	1	676.46	184.07	4.43	100
PC 32:2	1	730.5538	184.07	4.71	100
PC 32:1	1	732.5538	184.07	5.18	100
PC 32:0	1	734.5694	184.07	5.62	100
PC 33:1 (d7)	1	753.54	184.07	5.4	100
PC 34:4	1	754.55	184.07	4.64	100
PC 34:3a	1	756.5538	184.07	4.79	100
PC 34:2	1	758.5694	184.07	5.3	100
PC 34:1	1	760.5851	184.07	5.65	100
PC 36:6	1	778.54	184.07	4.5	100
PC 36:5	1	780.553	184.07	4.84	100
PC 36:4a	1	782.5694	184.07	4.91	100
PC 36:3a	1	784.5851	184.07	5.35	100
PC 38:7	1	804.55	184.07	4.6	100
PC 38:6a	1	806.5694	184.07	4.87	100
PC 38:5a	1	808.5851	184.07	5.28	100
PC 40:8	1	830.5694	184.07	4.69	100
PC 40:7	1	832.5694	184.07	5.13	100
PC 40:6	1	834.5694	184.07	5.62	100
SM C15:0	1	689.56	184.07	4.77	100
SM C16:0	1	703.57	184.07	5.08	100
Dihydro SM C16:0	1	705.59	184.07	5.28	100
SM C17:0	1	717.59	184.07	5.32	100
SM C18:1	1	729.59	184.07	5.13	100
SM C18:0	1	731.61	184.07	5.61	100
SM C18:1 (d9)	1	738.54	184.07	5.15	100
SM C20:1	1	757.64	184.07	5.67	100
PCe 30:0	1	692.53	184.07	5.41	100
PCp 32:0	1	718.54	184.07	5.85	100
PCe 32:0	1	720.54	184.07	5.91	100
PCp 34:2	1	742.62	184.07	5.51	100
PCe 34:2	1	744.62	184.07	5.62	100
PCe 34:1	1	746.62	184.07	5.95	100
PCe 36:5	1	766.57	184.07	5.2	100
PCe 36:4	1	768.59	184.07	5.54	100
PCe 36:3	1	770.61	184.07	5.75	100
PCe 38:6	1	792.59	184.07	5.42	100
PCe 38:5	1	794.61	184.07	5.58	100
PCe 40:6	1	820.62	184.07	5.62	100
PEp 34:2	1	700.5276	364.2	5.64	100
PE 33:1 (d7)	1	711.48	570.5381	5.51	100
PE 34:2	1	716.5225	575.5225	5.4	100
PEp 36:5	1	722.51	364.2	5.23	100
PEp 36:4	1	724.5276	364.2	5.57	100
PEp 36:3	1	726.5276	390.2	5.69	100
PE 36:4	1	740.5225	599.5225	5.33	100
PE 36:3	1	742.5381	601.5381	5.44	100
PEp 38:6	1	748.5276	364.2	5.43	100
PEp 38:5	1	750.5432	390.2	5.61	100
PE 38:6	1	764.5222	623.5225	5.2	100
PE 38:5	1	766.5381	625.5381	5.4	100
PEp 40:7	1	774.5432	390.2	5.48	100
PE 40:7	1	790.5381	649.5381	5.24	100
PEp 34:1	1	702.5432	364.2	6.03	100
PE 34:1	1	718.5381	577.5381	5.76	100
PEp 36:2	1	728.5589	392.2	6.12	100
PEp 36:1	1	730.5745	392.2	6.45	100
PEP 36:1 (d9)	1	739.63	392.2	6.46	100
PE 36:2	1	744.5538	603.5538	5.89	100
PE 36:1	1	746.5694	605.5694	6.27	100
PEp 38:4	1	752.5582	392.2	6.05	100
PE 38:4	1	768.5538	627.5538	5.83	100
PE 38:3	1	770.55	629.55	6.04	100
PEp 40:6	1	776.5589	392.2	5.93	100
PEp 40:4	1	780.59	420.2	6.47	100
PE 40:6	1	792.5532	651.5538	5.7	100
PE 40:5	1	794.5694	653.5694	5.87	100
Dihydro SM C18:0	1	733.62	184.07	5.83	100
SM C19:0	1	745.63	184.07	5.91	100
SM C20:0	1	759.64	184.07	6.12	100
Dihydro SM C20:0	1	761.65	184.07	6.28	100
SM C21:0	1	773.66	184.07	6.35	100
SM C22:2	1	783.64	184.07	5.71	100
SM C22:1	1	785.65	184.07	6.18	100
SM C22:0	1	787.67	184.07	6.56	100
SM C23:1a	1	799.68	184.07	6.31	100
SM C24:3	1	809.67	184.07	5.77	100
SM C24:2	1	811.68	184.07	6.16	100
SM C24:1	1	813.69	184.07	6.5	100
SM C26:2	1	839.71	184.07	6.58	100
PCe 34:0	1	748.62	184.07	6.4	100
PCe 36:2	1	772.62	184.07	6.1	100
PCe 36:1a	1	774.62	184.07	6.35	100
PCP 36:1 (d9)	1	781.68	184.07	6.33	100
PCe 38:4	1	796.62	184.07	6.03	100
PCe 38:3	1	798.64	184.07	6.22	100
PCe 38:2	1	800.65	184.07	6.39	100
PCe 40:5	1	822.61	184.07	6.03	100
PCe 40:4	1	824.62	184.07	6.44	100
PCe 40:3	1	826.64	184.07	6.5	100
PCe 42:6	1	848.64	184.07	6.09	100
PCe 42:5	1	850.64	184.07	6.42	100
PCe 44:6	1	876.65	184.07	6.47	100
PC 34:0	1	762.6007	184.07	6.13	100
PC 36:2	1	786.6007	184.07	5.78	100
