Compound Name	ISTD	Precursor Ion	Product Ion	RT	uniform_RT (uniform start/end times)	start_RT	end_RT
LPE 16:0	LPE 18:1 (d7)	454.2928	313.2928	1.6	n		
LPE 18:2	LPE 18:1 (d7)	478.3085	337.3085	1.34	n		
LPE 18:1	LPE 18:1 (d7)	480.3085	339.3085	1.7	n		
LPE 18:0	LPE 18:1 (d7)	482.3241	341.3241	2.2	n		
LPE 18:1 (d7)	LPE 18:1 (d7)	487.3085	346.3085	1.68	n		
LPE 20:4	LPE 18:1 (d7)	502.2928	361.2928	1.29	n		
LPE 22:6	LPE 18:1 (d7)	526.2928	385.2928	1.23	n		
LPC 14:0	LPC 18:1 (d7)	468.3085	184.07	1.08	n		
LPC(P-16:0/0:0)	LPC 18:1 (d7)	480.3449	104.08	1.72	n		
LPC(O-16:0/0:0)	LPC 18:1 (d7)	482.3605	104.08	1.78	n		
LPC 15:0	LPC 18:1 (d7)	482.3605	184.07	1.29	n		
LPC 16:1	LPC 18:1 (d7)	494.3241	184.07	1.16	n		
LPC 16:0	LPC 18:1 (d7)	496.3398	184.07	1.53	n		
LPC 17:1	LPC 18:1 (d7)	508.3398	184.07	1.38	n		
LPC 17:0	LPC 18:1 (d7)	510.3554	184.07	1.82	n		
LPC 18:2	LPC 18:1 (d7)	520.3398	184.07	1.28	n		
LPC 18:1	LPC 18:1 (d7)	522.3554	184.07	1.62	n		
LPC 18:1 (d7)	LPC 18:1 (d7)	529.3054	184.07	1.61	n		
LPC 20:5	LPC 18:1 (d7)	542.3241	184.07	1.05	n		
LPC 20:4	LPC 18:1 (d7)	544.3398	184.07	1.24	n		
LPC 20:3	LPC 18:1 (d7)	546.3554	184.07	1.43	n		
LPC 20:2	LPC 18:1 (d7)	548.3711	184.07	1.75	n		
LPC 22:6	LPC 18:1 (d7)	568.3398	184.07	1.18	n		
LPC 22:5	LPC 18:1 (d7)	570.3398	184.07	1.45	n		
LPC(P-18:0/0:0)_LPC(O-18:1/0:0)	LPC 18:1 (d7)	508.3398	104.08	"2.37, 1.87"	n		
LPC(O-18:0/0:0)	LPC 18:1 (d7)	510.3554	104.08	2.43	n		
LPC 18:0	LPC 18:1 (d7)	524.3711	184.07	2.13	n		
LPC 19:0	LPC 18:1 (d7)	538.38	184.07	2.46	n		
LPC 20:1	LPC 18:1 (d7)	550.3867	184.07	2.2	n		
LPC 20:0	LPC 18:1 (d7)	552.4024	184.07	2.82	n		
LPC 22:0	LPC 18:1 (d7)	580.43	184.07	3.54	n		
LPC 24:0	LPC 18:1 (d7)	608.47	184.07	4.24	n		
SM C12:0	SM C18:1 (d9)	647.52	184.07	3.75	n		
SM C13:0	SM C18:1 (d9)	661.53	184.07	4.09	n		
SM C14:1	SM C18:1 (d9)	673.54	184.07	3.87	n		
SM C14:0	SM C18:1 (d9)	675.55	184.07	4.43	n		
