CompNams,RT,RT_tol,Parent_m_z,Daughter_m_z,IS,Conc
LPE 16:0,1.6,0.2,454.2928,313.2928,LPE 18:1 (d7),1
LPE 18:2,1.34,0.2,478.3085,337.3085,LPE 18:1 (d7),1
LPE 18:1,1.7,0.2,480.3085,339.3085,LPE 18:1 (d7),1
LPE 18:0,2.2,0.2,482.3241,341.3241,LPE 18:1 (d7),1
LPE 18:1 (d7),1.68,0.2,487.3085,346.3085,LPE 18:1 (d7),1
LPE 20:4,1.29,0.2,502.2928,361.2928,LPE 18:1 (d7),1
LPE 22:6,1.23,0.2,526.2928,385.2928,LPE 18:1 (d7),1
LPC 14:0,1.08,0.2,468.3085,184.07,LPC 18:1 (d7),45
LPC(P-16:0/0:0),1.72,0.2,480.3449,104.08,LPC 18:1 (d7),45
LPC(O-16:0/0:0),1.78,0.2,482.3605,104.08,LPC 18:1 (d7),45
LPC 15:0,1.29,0.2,482.3605,184.07,LPC 18:1 (d7),45
LPC 16:1,1.16,0.2,494.3241,184.07,LPC 18:1 (d7),45
LPC 16:0,1.53,0.2,496.3398,184.07,LPC 18:1 (d7),45
LPC 17:1,1.38,0.2,508.3398,184.07,LPC 18:1 (d7),45
LPC 17:0,1.82,0.2,510.3554,184.07,LPC 18:1 (d7),45
LPC 18:2,1.28,0.2,520.3398,184.07,LPC 18:1 (d7),45
LPC 18:1,1.62,0.2,522.3554,184.07,LPC 18:1 (d7),45
LPC 18:1 (d7),1.61,0.2,529.3054,184.07,LPC 18:1 (d7),45
LPC 20:5,1.05,0.2,542.3241,184.07,LPC 18:1 (d7),45
LPC 20:4,1.24,0.2,544.3398,184.07,LPC 18:1 (d7),45
LPC 20:3,1.43,0.2,546.3554,184.07,LPC 18:1 (d7),45
LPC 20:2,1.75,0.2,548.3711,184.07,LPC 18:1 (d7),45
LPC 22:6,1.18,0.2,568.3398,184.07,LPC 18:1 (d7),45
LPC 22:5,1.45,0.1,570.3398,184.07,LPC 18:1 (d7),45
LPC(P-18:0/0:0),2.37,0.2,508.3398,104.08,LPC 18:1 (d7),45
LPC(O-18:0/0:0),2.43,0.2,510.3554,104.08,LPC 18:1 (d7),45
LPC 18:0,2.13,0.2,524.3711,184.07,LPC 18:1 (d7),45
LPC 19:0,2.46,0.2,538.38,184.07,LPC 18:1 (d7),45
LPC 20:1,2.2,0.2,550.3867,184.07,LPC 18:1 (d7),45
LPC 20:0,2.82,0.2,552.4024,184.07,LPC 18:1 (d7),45
LPC 22:0,3.54,0.2,580.43,184.07,LPC 18:1 (d7),45
LPC 24:0,4.24,0.2,608.47,184.07,LPC 18:1 (d7),45
SM C12:0,3.75,0.2,647.52,184.07,SM C18:1 (d9),40
SM C13:0,4.09,0.2,661.53,184.07,SM C18:1 (d9),40
SM C14:1,3.87,0.2,673.54,184.07,SM C18:1 (d9),40
SM C14:0,4.43,0.2,675.55,184.07,SM C18:1 (d9),40
Dihydro SM C14:0,4.66,0.12,677.53,184.07,SM C18:1 (d9),40
SM C16:1,4.53,0.2,701.59,184.07,SM C18:1 (d9),40
CE 18:3,8.22,0.2,664.58,369.35,CE 18:1 (d7),530
CE 18:2,8.41,0.2,666.59,369.35,CE 18:1 (d7),530
CE 18:1 (d7),8.62,0.2,675.61,369.35,CE 18:1 (d7),530
CE 20:5,8.07,0.2,688.58,369.35,CE 18:1 (d7),530
CE 20:4,8.29,0.2,690.59,369.35,CE 18:1 (d7),530
CE 20:3,8.45,0.15,692.61,369.35,CE 18:1 (d7),530
CE 22:6,8.17,0.2,714.59,369.35,CE 18:1 (d7),530
PC 28:1,4.43,0.2,676.46,184.07,PC 33:1 (d7),210
PC 32:2,4.71,0.2,730.5538,184.07,PC 33:1 (d7),210
PC 32:1,5.18,0.2,732.5538,184.07,PC 33:1 (d7),210
PC 32:0,5.62,0.2,734.5694,184.07,PC 33:1 (d7),210
PC 33:1 (d7),5.4,0.2,753.54,184.07,PC 33:1 (d7),210
PC 34:4,4.64,0.2,754.55,184.07,PC 33:1 (d7),210
PC 34:3a,4.79,0.05,756.5538,184.07,PC 33:1 (d7),210
PC 34:2,5.3,0.2,758.5694,184.07,PC 33:1 (d7),210
PC 34:1,5.65,0.2,760.5851,184.07,PC 33:1 (d7),210
PC 36:6,4.5,0.2,778.54,184.07,PC 33:1 (d7),210
PC 36:5,4.84,0.2,780.553,184.07,PC 33:1 (d7),210
PC 36:4a,4.91,0.15,782.5694,184.07,PC 33:1 (d7),210
PC 36:3a,5.35,0.05,784.5851,184.07,PC 33:1 (d7),210
PC 38:7,4.6,0.05,804.55,184.07,PC 33:1 (d7),210
PC 38:6a,4.87,0.1,806.5694,184.07,PC 33:1 (d7),210
PC 38:5a,5.28,0.1,808.5851,184.07,PC 33:1 (d7),210
PC 40:8,4.69,0.2,830.5694,184.07,PC 33:1 (d7),210
PC 40:7,5.13,0.2,832.5694,184.07,PC 33:1 (d7),210
PC 40:6,5.62,0.2,834.5694,184.07,PC 33:1 (d7),210
SM C15:0,4.77,0.1,689.56,184.07,SM C18:1 (d9),40
SM C16:0,5.08,0.2,703.57,184.07,SM C18:1 (d9),40
Dihydro SM C16:0,5.28,0.15,705.59,184.07,SM C18:1 (d9),40
SM C17:0,5.32,0.2,717.59,184.07,SM C18:1 (d9),40
SM C18:1,5.13,0.2,729.59,184.07,SM C18:1 (d9),40
SM C18:0,5.61,0.2,731.61,184.07,SM C18:1 (d9),40
SM C18:1 (d9),5.15,0.2,738.54,184.07,SM C18:1 (d9),40
SM C20:1,5.67,0.1,757.64,184.07,SM C18:1 (d9),40
PCe 30:0,5.41,0.2,692.53,184.07,PCP 36:1 (d9),10
PCp 32:0,5.85,0.2,718.54,184.07,PCP 36:1 (d9),10
PCe 32:0,5.91,0.2,720.54,184.07,PCP 36:1 (d9),10
PCp 34:2,5.51,0.2,742.62,184.07,PCP 36:1 (d9),10
PCe 34:2,5.62,0.1,744.62,184.07,PCP 36:1 (d9),10
PCe 34:1,5.95,0.2,746.62,184.07,PCP 36:1 (d9),10
PCe 36:5,5.2,0.1,766.57,184.07,PCP 36:1 (d9),10
PCe 36:4,5.54,0.2,768.59,184.07,PCP 36:1 (d9),10
PCe 36:3,5.75,0.05,770.61,184.07,PCP 36:1 (d9),10
PCe 38:6,5.42,0.05,792.59,184.07,PCP 36:1 (d9),10
PCe 38:5,5.58,0.1,794.61,184.07,PCP 36:1 (d9),10
PCe 40:6,5.62,0.1,820.62,184.07,PCP 36:1 (d9),10
