transition_group_id	transition_name	PrecursorMz	ProductMz	RetentionTime	RT_tol	LibraryIntensity	NormalizedRetentionTime
1	LPE 16:0	454.2928	313.2928	1.6	0.2	1000	1.6
2	LPE 18:2	478.3085	337.3085	1.34	0.2	1000	1.34
3	LPE 18:1	480.3085	339.3085	1.7	0.2	1000	1.7
4	LPE 18:0	482.3241	341.3241	2.2	0.2	1000	2.2
5	LPE 18:1 (d7)	487.3085	346.3085	1.68	0.2	1000	1.68
6	LPE 20:4	502.2928	361.2928	1.29	0.2	1000	1.29
7	LPE 22:6	526.2928	385.2928	1.23	0.2	1000	1.23
8	LPC 14:0	468.3085	184.07	1.08	0.2	1000	1.08
9	LPC(P-16:0/0:0)	480.3449	104.08	1.72	0.2	1000	1.72
10	LPC(O-16:0/0:0)	482.3605	104.08	1.78	0.2	1000	1.78
11	LPC 15:0	482.3605	184.07	1.29	0.2	1000	1.29
12	LPC 16:1	494.3241	184.07	1.16	0.2	1000	1.16
13	LPC 16:0	496.3398	184.07	1.53	0.2	1000	1.53
14	LPC 17:1	508.3398	184.07	1.38	0.2	1000	1.38
15	LPC 17:0	510.3554	184.07	1.82	0.2	1000	1.82
16	LPC 18:2	520.3398	184.07	1.28	0.2	1000	1.28
17	LPC 18:1	522.3554	184.07	1.62	0.2	1000	1.62
18	LPC 18:1 (d7)	529.3054	184.07	1.61	0.2	1000	1.61
19	LPC 20:5	542.3241	184.07	1.05	0.2	1000	1.05
20	LPC 20:4	544.3398	184.07	1.24	0.2	1000	1.24
21	LPC 20:3	546.3554	184.07	1.43	0.2	1000	1.43
22	LPC 20:2	548.3711	184.07	1.75	0.2	1000	1.75
23	LPC 22:6	568.3398	184.07	1.18	0.2	1000	1.18
24	LPC 22:5	570.3398	184.07	1.45	0.1	1000	1.45
25	LPC(P-18:0/0:0)	508.3398	104.08	2.37	0.2	1000	2.37
26	LPC(O-18:0/0:0)	510.3554	104.08	2.43	0.2	1000	2.43
27	LPC 18:0	524.3711	184.07	2.13	0.2	1000	2.13
28	LPC 19:0	538.38	184.07	2.46	0.2	1000	2.46
29	LPC 20:1	550.3867	184.07	2.2	0.2	1000	2.2
30	LPC 20:0	552.4024	184.07	2.82	0.2	1000	2.82
31	LPC 22:0	580.43	184.07	3.54	0.2	1000	3.54
32	LPC 24:0	608.47	184.07	4.24	0.2	1000	4.24
33	SM C12:0	647.52	184.07	3.75	0.2	1000	3.75
34	SM C13:0	661.53	184.07	4.09	0.2	1000	4.09
35	SM C14:1	673.54	184.07	3.87	0.2	1000	3.87
36	SM C14:0	675.55	184.07	4.43	0.2	1000	4.43
37	Dihydro SM C14:0	677.53	184.07	4.66	0.12	1000	4.66
38	SM C16:1	701.59	184.07	4.53	0.2	1000	4.53
39	CE 18:3	664.58	369.35	8.22	0.2	1000	8.22
40	CE 18:2	666.59	369.35	8.41	0.2	1000	8.41
41	CE 18:1 (d7)	675.61	369.35	8.62	0.2	1000	8.62
42	CE 20:5	688.58	369.35	8.07	0.2	1000	8.07
43	CE 20:4	690.59	369.35	8.29	0.2	1000	8.29
44	CE 20:3	692.61	369.35	8.45	0.15	1000	8.45
45	CE 22:6	714.59	369.35	8.17	0.2	1000	8.17
46	PC 28:1	676.46	184.07	4.43	0.2	1000	4.43
47	PC 32:2	730.5538	184.07	4.71	0.2	1000	4.71
48	PC 32:1	732.5538	184.07	5.18	0.2	1000	5.18
49	PC 32:0	734.5694	184.07	5.62	0.2	1000	5.62
50	PC 33:1 (d7)	753.54	184.07	5.4	0.2	1000	5.4
51	PC 34:4	754.55	184.07	4.64	0.2	1000	4.64
52	PC 34:3a	756.5538	184.07	4.79	0.05	1000	4.79
53	PC 34:2	758.5694	184.07	5.3	0.2	1000	5.3
54	PC 34:1	760.5851	184.07	5.65	0.2	1000	5.65
55	PC 36:6	778.54	184.07	4.5	0.2	1000	4.5
56	PC 36:5	780.553	184.07	4.84	0.2	1000	4.84
57	PC 36:4a	782.5694	184.07	4.91	0.15	1000	4.91
58	PC 36:3a	784.5851	184.07	5.35	0.05	1000	5.35
59	PC 38:7	804.55	184.07	4.6	0.05	1000	4.6
60	PC 38:6a	806.5694	184.07	4.87	0.1	1000	4.87
61	PC 38:5a	808.5851	184.07	5.28	0.1	1000	5.28
62	PC 40:8	830.5694	184.07	4.69	0.2	1000	4.69
63	PC 40:7	832.5694	184.07	5.13	0.2	1000	5.13
64	PC 40:6	834.5694	184.07	5.62	0.2	1000	5.62
65	SM C15:0	689.56	184.07	4.77	0.1	1000	4.77
66	SM C16:0	703.57	184.07	5.08	0.2	1000	5.08
