Molecule List Name,Precursor m/z,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,Explicit Retention Time,Explicit Retention Time Window
LPE 16:0,454.2928,[M+H],1,313.2928,1,1.6,0.2
LPE 18:2,478.3085,[M+H],1,337.3085,1,1.34,0.2
LPE 18:1,480.3085,[M+H],1,339.3085,1,1.7,0.2
LPE 18:0,482.3241,[M+H],1,341.3241,1,2.2,0.2
LPE 18:1 (d7),487.3085,[M+H],1,346.3085,1,1.68,0.2
LPE 20:4,502.2928,[M+H],1,361.2928,1,1.29,0.2
LPE 22:6,526.2928,[M+H],1,385.2928,1,1.23,0.2
LPC 14:0,468.3085,[M+H],1,184.07,1,1.08,0.2
LPC(P-16:0/0:0),480.3449,[M+H],1,104.08,1,1.72,0.2
LPC(O-16:0/0:0),482.3605,[M+H],1,104.08,1,1.78,0.2
LPC 15:0,482.3605,[M+H],1,184.07,1,1.29,0.2
LPC 16:1,494.3241,[M+H],1,184.07,1,1.16,0.2
LPC 16:0,496.3398,[M+H],1,184.07,1,1.53,0.2
LPC 17:1,508.3398,[M+H],1,184.07,1,1.38,0.2
LPC 17:0,510.3554,[M+H],1,184.07,1,1.82,0.2
LPC 18:2,520.3398,[M+H],1,184.07,1,1.28,0.2
LPC 18:1,522.3554,[M+H],1,184.07,1,1.62,0.2
LPC 18:1 (d7),529.3054,[M+H],1,184.07,1,1.61,0.2
LPC 20:5,542.3241,[M+H],1,184.07,1,1.05,0.2
LPC 20:4,544.3398,[M+H],1,184.07,1,1.24,0.2
LPC 20:3,546.3554,[M+H],1,184.07,1,1.43,0.2
LPC 20:2,548.3711,[M+H],1,184.07,1,1.75,0.2
LPC 22:6,568.3398,[M+H],1,184.07,1,1.18,0.2
LPC 22:5,570.3398,[M+H],1,184.07,1,1.45,0.1
LPC(P-18:0/0:0),508.3398,[M+H],1,104.08,1,2.37,0.2
LPC(O-18:0/0:0),510.3554,[M+H],1,104.08,1,2.43,0.2
LPC 18:0,524.3711,[M+H],1,184.07,1,2.13,0.2
LPC 19:0,538.38,[M+H],1,184.07,1,2.46,0.2
LPC 20:1,550.3867,[M+H],1,184.07,1,2.2,0.2
LPC 20:0,552.4024,[M+H],1,184.07,1,2.82,0.2
LPC 22:0,580.43,[M+H],1,184.07,1,3.54,0.2
LPC 24:0,608.47,[M+H],1,184.07,1,4.24,0.2
SM C12:0,647.52,[M+H],1,184.07,1,3.75,0.2
SM C13:0,661.53,[M+H],1,184.07,1,4.09,0.2
SM C14:1,673.54,[M+H],1,184.07,1,3.87,0.2
