Molecule,Molecule List Name,Replicate Name,Precursor Mz,Precursor Adduct,Precursor Charge,Fragment Ion,Product Mz,Product Adduct,Product Charge,Retention Time,Area,Background,Peak Rank
Molecule [453.285524/453.285524],LPE 16:0,20200426_plate2_QC3_A1,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.61,115020,1527,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_plate2_QC3_A2,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.62,112060,0,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_plate2_QC3_A3,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.62,103422,306,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_plate2_QC3_A4,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.61,125385,224,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_plate2_QC3_A5,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.61,104236,633,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_plate2_QC3_A6,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.62,89104,86,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_plate2_QC3_A7,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.62,106667,0,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_plate2_QC3_A8,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.61,125367,101,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_Sample81,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.61,102239,477,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_Sample82,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.62,106400,60,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_Sample83,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.62,82660,55,1
Molecule [453.285524/453.285524],LPE 16:0,20200426_Sample84,454.2928,[M+H],1,Ion [313.293349/313.293349],313.2928,[M+],1,1.61,74492,116,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_plate2_QC3_A1,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.34,140171,2638,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_plate2_QC3_A2,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.35,174244,728,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_plate2_QC3_A3,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.35,151598,1778,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_plate2_QC3_A4,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.34,170411,2084,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_plate2_QC3_A5,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.34,157356,1791,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_plate2_QC3_A6,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.35,154314,1817,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_plate2_QC3_A7,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.35,157786,0,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_plate2_QC3_A8,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.35,170290,1336,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_Sample81,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.34,88467,591,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_Sample82,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.34,134067,3144,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_Sample83,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.34,135786,1455,1
Molecule [477.301224/477.301224],LPE 18:2,20200426_Sample84,478.3085,[M+H],1,Ion [337.309049/337.309049],337.3085,[M+],1,1.35,118355,107,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_plate2_QC3_A1,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.73,76806,0,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_plate2_QC3_A2,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.71,79707,0,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_plate2_QC3_A3,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.71,71577,2627,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_plate2_QC3_A4,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.72,61748,562,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_plate2_QC3_A5,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.7,68809,194,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_plate2_QC3_A6,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.71,75255,765,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_plate2_QC3_A7,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.7,56415,0,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_plate2_QC3_A8,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.71,85229,1436,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_Sample81,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.73,40078,0,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_Sample82,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.71,55119,0,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_Sample83,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.71,68454,0,1
Molecule [479.301224/479.301224],LPE 18:1,20200426_Sample84,480.3085,[M+H],1,Ion [339.309049/339.309049],339.3085,[M+],1,1.71,46503,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_plate2_QC3_A1,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.24,126473,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_plate2_QC3_A2,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.23,128676,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_plate2_QC3_A3,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.23,120333,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_plate2_QC3_A4,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.24,115497,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_plate2_QC3_A5,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.23,127453,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_plate2_QC3_A6,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.24,115131,631,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_plate2_QC3_A7,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.23,109745,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_plate2_QC3_A8,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.24,139100,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_Sample81,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.24,102103,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_Sample82,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.24,96141,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_Sample83,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.24,93295,0,1
Molecule [481.316824/481.316824],LPE 18:0,20200426_Sample84,482.3241,[M+H],1,Ion [341.324649/341.324649],341.3241,[M+],1,2.24,87760,1719,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_plate2_QC3_A1,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.69,81766,0,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_plate2_QC3_A2,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.69,84493,0,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_plate2_QC3_A3,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.7,69622,0,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_plate2_QC3_A4,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.69,82329,0,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_plate2_QC3_A5,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.69,71886,0,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_plate2_QC3_A6,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.69,75749,522,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_plate2_QC3_A7,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.7,79851,0,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_plate2_QC3_A8,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.69,82928,0,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_Sample81,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.69,74410,0,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_Sample82,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.7,79073,0,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_Sample83,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.7,84361,0,1
Molecule [486.301224/486.301224],LPE 18:1 (d7),20200426_Sample84,487.3085,[M+H],1,Ion [346.309049/346.309049],346.3085,[M+],1,1.69,83749,0,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_plate2_QC3_A1,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.3,60667,0,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_plate2_QC3_A2,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.3,63775,0,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_plate2_QC3_A3,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.3,52174,988,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_plate2_QC3_A4,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.3,59963,0,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_plate2_QC3_A5,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.3,55835,0,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_plate2_QC3_A6,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.3,49833,230,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_plate2_QC3_A7,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.3,47904,1882,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_plate2_QC3_A8,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.3,60390,675,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_Sample81,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.31,37526,0,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_Sample82,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.3,41625,0,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_Sample83,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.29,45179,998,1
Molecule [501.285524/501.285524],LPE 20:4,20200426_Sample84,502.2928,[M+H],1,Ion [361.293349/361.293349],361.2928,[M+],1,1.3,41144,0,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_plate2_QC3_A1,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.24,76683,5,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_plate2_QC3_A2,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.23,74640,40,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_plate2_QC3_A3,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.23,74851,0,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_plate2_QC3_A4,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.24,75211,418,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_plate2_QC3_A5,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.24,78217,0,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_plate2_QC3_A6,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.24,67458,2471,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_plate2_QC3_A7,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.24,70923,1612,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_plate2_QC3_A8,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.24,85425,0,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_Sample81,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.24,69213,118,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_Sample82,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.24,89556,0,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_Sample83,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.23,90190,1601,1
Molecule [525.285524/525.285524],LPE 22:6,20200426_Sample84,526.2928,[M+H],1,Ion [385.293349/385.293349],385.2928,[M+],1,1.23,69983,48,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_plate2_QC3_A1,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.1,1129321,18281,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_plate2_QC3_A2,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.09,1170939,9452,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_plate2_QC3_A3,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.1,1096915,10702,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_plate2_QC3_A4,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.1,1122579,7867,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_plate2_QC3_A5,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.09,1128578,12136,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_plate2_QC3_A6,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.09,1045893,8596,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_plate2_QC3_A7,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.1,1050997,6117,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_plate2_QC3_A8,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.09,1218846,14683,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_Sample81,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.1,1156577,10180,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_Sample82,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.09,1371326,12813,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_Sample83,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.1,1333118,1459,1
Molecule [467.301224/467.301224],LPC 14:0,20200426_Sample84,468.3085,[M+H],1,Ion [184.070549/184.070549],184.07,[M+],1,1.09,914321,11545,1
Molecule [479.337624/479.337624],LPC(P-16:0/0:0),20200426_plate2_QC3_A1,480.3449,[M+H],1,Ion [104.080549/104.080549],104.08,[M+],1,1.73,1152162,14111,1
Molecule [479.337624/479.337624],LPC(P-16:0/0:0),20200426_plate2_QC3_A2,480.3449,[M+H],1,Ion [104.080549/104.080549],104.08,[M+],1,1.74,1154487,6916,1
